,Unnamed: 0,gender,age,university,degree_level,degree_major,academic_year,cgpa,residential_status,campus_discrimination,sports_engagement,average_sleep,study_satisfaction,academic_wkload,academic_pressure,financial_concerns,social_relationships,depression,anxiety,isolation,future_insecurity,stress_relief_activities,mental_ill,relationship_group
0,0,Male,20,PU,Undergraduate,Data Science,2nd year,3.0-3.5,Off-Campus,No,No Sports,4-6 hrs,5,4,5,4,3,2,1,1,2,"[""['Religious Activities'"", ""'Social Connections'"", ""'Online Entertainment']""]",1.3333333333333333,socially_active
1,1,Male,20,UET,Postgraduate,Computer Science,3rd year,3.0-3.5,Off-Campus,No,1-3 times,4-6 hrs,5,4,4,1,3,3,3,3,4,"[""['Online Entertainment']""]",3.0,socially_active
2,2,Male,20,FAST,Undergraduate,Computer Science,3rd year,2.5-3.0,Off-Campus,No,1-3 times,2-4 hrs,5,5,5,3,4,2,3,3,1,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Online Entertainment']""]",2.6666666666666665,socially_active
3,3,Male,20,UET,Undergraduate,Computer Science,3rd year,2.5-3.0,On-Campus,No,No Sports,4-6 hrs,3,5,4,4,1,5,5,5,3,"[""['Online Entertainment']""]",5.0,socially_isoled
4,4,Female,20,UET,Undergraduate,Computer Science,3rd year,3.0-3.5,Off-Campus,Yes,No Sports,4-6 hrs,3,5,5,2,3,5,5,4,4,"[""['Online Entertainment']""]",4.666666666666667,socially_active
5,5,Female,20,UET,Undergraduate,Computer Science,3rd year,3.0-3.5,Off-Campus,No,No Sports,4-6 hrs,4,5,5,3,3,5,5,5,5,"[""['Religious Activities'"", ""'Social Connections'"", ""'Online Entertainment']""]",5.0,socially_active
6,6,Male,26,PU,Postgraduate,Data Science,1st year,2.5-3.0,On-Campus,Yes,1-3 times,7-8 hrs,4,4,4,5,2,5,4,4,5,"[""['Social Connections'"", ""'Online Entertainment']""]",4.333333333333333,socially_isoled
7,7,Male,22,PU,Undergraduate,Data Science,2nd year,3.0-3.5,Off-Campus,Yes,No Sports,4-6 hrs,3,4,4,5,4,3,2,2,4,"[""['Religious Activities'"", ""'Social Connections'"", ""'Online Entertainment']""]",2.3333333333333335,socially_active
8,8,Male,20,COMSATS,Undergraduate,Computer Science,3rd year,2.5-3.0,Off-Campus,Yes,1-3 times,4-6 hrs,3,4,3,4,2,3,4,3,5,"[""['Religious Activities'"", ""'Social Connections'"", ""'Online Entertainment'"", ""'Outdoor Activities']""]",3.3333333333333335,socially_isoled
9,9,Male,23,COMSATS,Undergraduate,Computer Science,3rd year,2.5-3.0,Off-Campus,No,No Sports,4-6 hrs,3,5,3,5,1,5,5,5,5,"[""['Sports and Fitness']""]",5.0,socially_isoled
10,10,Male,20,COMSATS,Undergraduate,Computer Science,2nd year,3.0-3.5,On-Campus,No,No Sports,4-6 hrs,5,4,4,1,4,3,3,1,3,"[""['Religious Activities'"", ""'Online Entertainment']""]",2.3333333333333335,socially_active
11,11,Male,20,COMSATS,Undergraduate,Computer Science,3rd year,3.0-3.5,Off-Campus,No,1-3 times,4-6 hrs,4,5,4,4,4,2,3,1,2,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Social Connections'"", ""'Online Entertainment'"", ""'Outdoor Activities']""]",2.0,socially_active
12,12,Male,21,COMSATS,Undergraduate,Computer Science,3rd year,3.5-4.0,On-Campus,No,No Sports,4-6 hrs,5,3,5,5,1,4,4,4,2,"[""['Nothing']""]",4.0,socially_isoled
13,13,Male,19,PU,Undergraduate,Data Science,1st year,3.0-3.5,Off-Campus,No,No Sports,4-6 hrs,3,3,4,5,3,5,4,5,1,"[""['Religious Activities']""]",4.666666666666667,socially_active
14,14,Female,20,PU,Undergraduate,Data Science,1st year,3.0-3.5,Off-Campus,No,No Sports,4-6 hrs,3,3,3,3,2,4,3,5,3,"[""['Religious Activities']""]",4.0,socially_isoled
15,15,Female,19,PU,Undergraduate,Data Science,1st year,3.0-3.5,Off-Campus,Yes,No Sports,7-8 hrs,5,3,3,4,3,1,1,1,3,"[""['Religious Activities'"", ""'Social Connections'"", ""'Online Entertainment']""]",1.0,socially_active
16,16,Female,20,PU,Undergraduate,Data Science,1st year,3.0-3.5,Off-Campus,No,No Sports,2-4 hrs,5,4,4,3,1,3,2,3,1,"[""['Social Connections']""]",2.6666666666666665,socially_isoled
17,17,Male,19,PU,Undergraduate,Data Science,1st year,2.5-3.0,Off-Campus,No,No Sports,7-8 hrs,5,3,5,3,3,2,2,3,1,"[""['Religious Activities']""]",2.3333333333333335,socially_active
18,18,Female,19,PU,Undergraduate,Data Science,1st year,3.5-4.0,Off-Campus,No,1-3 times,4-6 hrs,4,4,3,3,2,4,4,3,2,"[""['Religious Activities'"", ""'Creative Outlets'"", ""'Social Connections']""]",3.6666666666666665,socially_isoled
19,19,Male,19,PU,Undergraduate,Data Science,1st year,3.5-4.0,Off-Campus,Yes,1-3 times,4-6 hrs,5,4,4,5,3,5,5,4,3,"[""['Sports and Fitness']""]",4.666666666666667,socially_active
20,20,Female,20,PU,Undergraduate,Data Science,1st year,3.0-3.5,Off-Campus,No,1-3 times,7-8 hrs,5,4,4,2,3,1,2,2,2,"[""['Social Connections']""]",1.6666666666666667,socially_active
21,21,Female,19,PU,Undergraduate,Data Science,1st year,3.0-3.5,Off-Campus,Yes,No Sports,4-6 hrs,4,5,5,2,2,4,4,5,5,"[""['Religious Activities'"", ""'Social Connections']""]",4.333333333333333,socially_isoled
22,22,Male,20,PU,Undergraduate,Data Science,2nd year,2.5-3.0,Off-Campus,No,No Sports,4-6 hrs,3,5,5,3,3,4,4,3,4,"[""['Outdoor Activities']""]",3.6666666666666665,socially_active
23,23,Male,20,UET,Undergraduate,Computer Science,3rd year,3.5-4.0,Off-Campus,No,1-3 times,4-6 hrs,5,5,4,5,3,5,5,5,3,"[""['Religious Activities'"", ""'Online Entertainment']""]",5.0,socially_active
24,24,Female,19,PU,Undergraduate,Data Science,1st year,3.5-4.0,Off-Campus,No,1-3 times,4-6 hrs,5,4,4,1,3,3,4,3,3,"[""['Religious Activities'"", ""'Creative Outlets']""]",3.3333333333333335,socially_active
25,25,Male,19,PU,Undergraduate,Data Science,1st year,3.0-3.5,Off-Campus,No,7+ times,4-6 hrs,5,5,3,5,5,4,1,3,2,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Social Connections'"", ""'Online Entertainment'"", ""'Outdoor Activities']""]",2.6666666666666665,socially_active
26,26,Male,23,PU,Undergraduate,Data Science,2nd year,2.5-3.0,Off-Campus,Yes,1-3 times,7-8 hrs,3,3,4,1,4,3,3,2,3,"[""['Religious Activities'"", ""'Online Entertainment'"", ""'Outdoor Activities']""]",2.6666666666666665,socially_active
27,27,Male,20,PU,Undergraduate,Computer Science,1st year,1.5-2.0,Off-Campus,Yes,7+ times,2-4 hrs,1,4,5,5,1,5,5,5,5,"[""['Online Entertainment']""]",5.0,socially_isoled
28,28,Male,18,PU,Undergraduate,Data Science,1st year,2.5-3.0,Off-Campus,No,4-6 times,4-6 hrs,4,3,4,4,4,3,4,4,2,"[""['Sports and Fitness'"", ""'Creative Outlets'"", ""'Online Entertainment'"", ""'Outdoor Activities']""]",3.6666666666666665,socially_active
29,29,Male,20,PU,Undergraduate,Data Science,1st year,3.5-4.0,Off-Campus,No,4-6 times,7-8 hrs,5,5,5,3,5,5,3,3,2,"[""['Religious Activities'"", ""'Outdoor Activities']""]",3.6666666666666665,socially_active
30,30,Male,18,PU,Undergraduate,Data Science,1st year,3.5-4.0,Off-Campus,No,No Sports,7-8 hrs,5,3,1,1,3,1,2,2,1,"[""['Sleep']""]",1.6666666666666667,socially_active
31,31,Male,19,PU,Undergraduate,Data Science,1st year,2.0-2.5,On-Campus,No,No Sports,4-6 hrs,2,4,1,5,3,3,3,3,2,"[""['Creative Outlets'"", ""'Social Connections'"", ""'Online Entertainment'"", ""'Outdoor Activities']""]",3.0,socially_active
32,32,Male,18,PU,Undergraduate,Data Science,1st year,1.5-2.0,On-Campus,No,No Sports,4-6 hrs,5,4,5,2,3,4,3,4,4,"[""['Religious Activities']""]",3.6666666666666665,socially_active
33,33,Female,19,PU,Undergraduate,Data Science,1st year,3.0-3.5,On-Campus,No,No Sports,7-8 hrs,5,4,4,3,2,4,2,3,1,"[""['Creative Outlets']""]",3.0,socially_isoled
34,34,Female,17,PU,Undergraduate,Computer Science,1st year,3.5-4.0,On-Campus,No,No Sports,4-6 hrs,4,5,5,5,1,5,5,5,3,"[""['Sleep']""]",5.0,socially_isoled
35,35,Male,18,PU,Undergraduate,Computer Science,1st year,3.5-4.0,Off-Campus,No,7+ times,4-6 hrs,3,3,4,5,2,4,3,4,5,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Social Connections']""]",3.6666666666666665,socially_isoled
36,36,Female,17,PU,Undergraduate,Computer Science,1st year,3.5-4.0,On-Campus,No,No Sports,4-6 hrs,4,4,4,5,3,4,4,5,2,"[""['Religious Activities']""]",4.333333333333333,socially_active
37,37,Female,19,PU,Undergraduate,Data Science,1st year,3.0-3.5,Off-Campus,No,4-6 times,7-8 hrs,5,3,2,2,4,1,2,1,1,"[""['Religious Activities']""]",1.3333333333333333,socially_active
38,38,Female,18,PU,Undergraduate,Data Science,1st year,2.5-3.0,Off-Campus,No,No Sports,4-6 hrs,1,4,5,5,2,5,5,5,5,"[""['Creative Outlets']""]",5.0,socially_isoled
39,39,Female,19,PU,Undergraduate,Data Science,2nd year,2.5-3.0,On-Campus,No,No Sports,2-4 hrs,2,4,4,1,2,3,3,4,3,"[""['Religious Activities']""]",3.3333333333333335,socially_isoled
40,40,Female,19,PU,Undergraduate,Data Science,2nd year,2.5-3.0,Off-Campus,No,1-3 times,4-6 hrs,4,4,4,4,1,1,1,1,4,"[""['Religious Activities'"", ""'Social Connections'"", ""'Online Entertainment']""]",1.0,socially_isoled
41,41,Male,18,PU,Undergraduate,Data Science,1st year,3.0-3.5,Off-Campus,No,No Sports,7-8 hrs,2,4,4,5,1,5,4,5,5,"[""['Online Entertainment']""]",4.666666666666667,socially_isoled
42,42,Male,18,PU,Undergraduate,Data Science,1st year,3.5-4.0,Off-Campus,Yes,1-3 times,4-6 hrs,4,3,3,2,3,3,3,3,4,"[""['Online Entertainment']""]",3.0,socially_active
43,43,Male,18,PU,Undergraduate,Computer Science,1st year,3.5-4.0,Off-Campus,Yes,4-6 times,7-8 hrs,4,2,2,1,3,1,1,2,3,"[""['Online Entertainment']""]",1.3333333333333333,socially_active
44,44,Male,19,NUST,Undergraduate,Computer Science,3rd year,3.5-4.0,On-Campus,No,1-3 times,7-8 hrs,4,4,4,3,4,2,2,2,4,"[""['Religious Activities'"", ""'Online Entertainment'"", ""'Outdoor Activities']""]",2.0,socially_active
45,45,Male,18,PU,Undergraduate,Data Science,1st year,0.0-0.0,Off-Campus,No,7+ times,7-8 hrs,4,4,4,4,5,3,3,1,3,"[""['Sports and Fitness']""]",2.3333333333333335,socially_active
46,46,Male,21,PU,Undergraduate,Software Engineering,4th year,3.5-4.0,Off-Campus,Yes,1-3 times,4-6 hrs,3,4,5,4,3,5,5,5,5,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Creative Outlets'"", ""'Online Entertainment']""]",5.0,socially_active
47,47,Male,20,PU,Undergraduate,Data Science,3rd year,3.5-4.0,Off-Campus,Yes,No Sports,7-8 hrs,4,4,3,1,1,3,3,5,2,"[""['Online Entertainment']""]",3.6666666666666665,socially_isoled
48,48,Male,19,PU,Undergraduate,Computer Science,1st year,2.0-2.5,On-Campus,No,1-3 times,4-6 hrs,5,4,5,5,1,3,4,5,1,"[""['Sports and Fitness'"", ""'Creative Outlets'"", ""'Social Connections'"", ""'Outdoor Activities'"", ""'Sleep']""]",4.0,socially_isoled
49,49,Male,20,PU,Undergraduate,Data Science,2nd year,3.0-3.5,On-Campus,No,No Sports,4-6 hrs,5,3,1,5,3,1,1,2,1,"[""['Religious Activities']""]",1.3333333333333333,socially_active
50,50,Male,21,PU,Undergraduate,Data Science,2nd year,3.5-4.0,On-Campus,No,1-3 times,4-6 hrs,5,4,3,4,5,2,2,2,3,"[""['Religious Activities'"", ""'Social Connections'"", ""'Online Entertainment'"", ""'Sleep']""]",2.0,socially_active
51,51,Male,17,PU,Undergraduate,Information Technology,1st year,0.0-0.0,Off-Campus,No,7+ times,7-8 hrs,3,5,5,1,3,4,4,4,5,"[""['Outdoor Activities']""]",4.0,socially_active
52,52,Male,18,PU,Undergraduate,Information Technology,1st year,0.0-0.0,Off-Campus,No,7+ times,7-8 hrs,5,3,4,3,5,3,3,3,1,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Social Connections']""]",3.0,socially_active
53,53,Male,18,PU,Undergraduate,Information Technology,1st year,0.0-0.0,Off-Campus,No,1-3 times,4-6 hrs,5,5,3,2,1,2,4,5,2,"[""['Social Connections'"", ""'Online Entertainment'"", ""'Sleep']""]",3.6666666666666665,socially_isoled
54,54,Male,22,VU,Undergraduate,Software Engineering,4th year,3.0-3.5,Off-Campus,No,1-3 times,7-8 hrs,4,4,3,5,1,3,3,4,1,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Outdoor Activities']""]",3.3333333333333335,socially_isoled
55,55,Male,21,PU,Undergraduate,Data Science,2nd year,2.5-3.0,On-Campus,Yes,4-6 times,4-6 hrs,3,4,5,3,4,1,1,1,1,"[""['Religious Activities'"", ""'Social Connections']""]",1.0,socially_active
56,56,Male,20,COMSATS,Undergraduate,Computer Science,3rd year,3.5-4.0,Off-Campus,Yes,4-6 times,7-8 hrs,4,3,5,3,3,4,4,4,4,"[""['Outdoor Activities']""]",4.0,socially_active
57,57,Male,20,PU,Undergraduate,Data Science,1st year,0.0-0.0,On-Campus,No,No Sports,4-6 hrs,4,4,4,5,2,3,2,4,2,"[""['Sleep']""]",3.0,socially_isoled
58,58,Male,20,PU,Undergraduate,Data Science,2nd year,3.5-4.0,Off-Campus,No,4-6 times,7-8 hrs,5,2,2,1,3,1,1,1,1,"[""['Religious Activities'"", ""'Social Connections']""]",1.0,socially_active
59,59,Male,21,FAST,Undergraduate,Data Science,3rd year,2.0-2.5,Off-Campus,No,1-3 times,7-8 hrs,3,5,4,1,3,2,2,4,4,"[""['Religious Activities'"", ""'Sports and Fitness']""]",2.6666666666666665,socially_active
60,60,Male,21,FAST,Undergraduate,Computer Science,3rd year,2.5-3.0,Off-Campus,No,4-6 times,7-8 hrs,4,4,4,2,4,2,2,2,3,"[""['Outdoor Activities']""]",2.0,socially_active
61,61,Male,20,COMSATS,Undergraduate,Computer Science,3rd year,3.0-3.5,Off-Campus,No,1-3 times,4-6 hrs,3,4,3,4,1,1,2,1,3,"[""['Religious Activities'"", ""'Social Connections'"", ""'Online Entertainment']""]",1.3333333333333333,socially_isoled
62,62,Male,20,UMT,Undergraduate,Computer Science,3rd year,3.5-4.0,Off-Campus,No,7+ times,7-8 hrs,5,3,4,3,2,4,4,4,5,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Social Connections'"", ""'Online Entertainment'"", ""'Outdoor Activities'"", ""'Sleep']""]",4.0,socially_isoled
63,63,Female,19,PU,Undergraduate,Computer Science,2nd year,3.0-3.5,Off-Campus,No,No Sports,7-8 hrs,4,3,3,3,3,4,4,3,2,"[""['Religious Activities'"", ""'Social Connections'"", ""'Sleep']""]",3.6666666666666665,socially_active
64,64,Male,20,COMSATS,Undergraduate,Computer Science,3rd year,2.5-3.0,Off-Campus,Yes,1-3 times,4-6 hrs,3,4,4,5,3,5,5,5,4,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Creative Outlets'"", ""'Online Entertainment']""]",5.0,socially_active
65,65,Male,20,UMT,Undergraduate,Computer Science,3rd year,3.5-4.0,On-Campus,No,No Sports,7-8 hrs,3,3,4,5,3,4,4,4,4,"[""['Social Connections']""]",4.0,socially_active
66,66,Male,20,FAST,Undergraduate,Computer Science,3rd year,2.5-3.0,Off-Campus,No,1-3 times,4-6 hrs,4,5,5,1,5,3,4,1,1,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Social Connections'"", ""'Sleep']""]",2.6666666666666665,socially_active
67,67,Male,20,FAST,Undergraduate,Computer Science,3rd year,3.5-4.0,On-Campus,No,No Sports,4-6 hrs,4,5,5,3,3,2,2,3,3,"[""['Religious Activities'"", ""'Social Connections'"", ""'Online Entertainment'"", ""'Sleep']""]",2.3333333333333335,socially_active
68,68,Male,20,FAST,Undergraduate,Computer Science,3rd year,2.5-3.0,On-Campus,No,7+ times,4-6 hrs,4,5,5,5,4,3,4,2,3,"[""['Social Connections'"", ""'Sleep']""]",3.0,socially_active
69,69,Male,19,UOL,Undergraduate,Computer Science,3rd year,2.5-3.0,Off-Campus,Yes,4-6 times,7-8 hrs,3,2,4,4,4,1,1,3,3,"[""['Outdoor Activities']""]",1.6666666666666667,socially_active
70,70,Male,22,UET,Undergraduate,Computer Science,3rd year,2.5-3.0,Off-Campus,No,No Sports,4-6 hrs,4,4,5,4,3,4,4,4,5,"[""['Religious Activities']""]",4.0,socially_active
71,71,Male,20,UET,Undergraduate,Computer Science,3rd year,3.0-3.5,Off-Campus,No,7+ times,7-8 hrs,4,2,3,4,2,3,3,4,3,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Sleep']""]",3.3333333333333335,socially_isoled
72,72,Female,20,UET,Undergraduate,Computer Science,3rd year,3.5-4.0,Off-Campus,No,No Sports,4-6 hrs,5,4,5,4,1,4,5,5,4,"[""['Online Entertainment']""]",4.666666666666667,socially_isoled
73,73,Female,19,UET,Undergraduate,Computer Science,3rd year,3.0-3.5,On-Campus,No,No Sports,4-6 hrs,3,5,5,3,3,5,5,3,5,"[""['Sleep']""]",4.333333333333333,socially_active
74,74,Male,21,PU,Undergraduate,Data Science,1st year,3.5-4.0,Off-Campus,No,7+ times,7-8 hrs,5,3,3,2,4,1,1,2,2,"[""['Religious Activities'"", ""'Social Connections']""]",1.3333333333333333,socially_active
75,75,Male,26,KUST,Undergraduate,Data Science,4th year,3.5-4.0,Off-Campus,Yes,1-3 times,7-8 hrs,5,5,1,5,1,5,5,3,5,"[""['Creative Outlets'"", ""'Social Connections'"", ""'Online Entertainment']""]",4.333333333333333,socially_isoled
76,76,Female,19,UET,Undergraduate,Computer Science,3rd year,2.5-3.0,Off-Campus,Yes,No Sports,4-6 hrs,3,5,5,5,3,4,3,3,4,"[""['Social Connections'"", ""'Sleep']""]",3.3333333333333335,socially_active
77,77,Male,22,PU,Undergraduate,Information Technology,4th year,3.0-3.5,Off-Campus,No,4-6 times,4-6 hrs,5,3,3,3,4,2,2,2,4,"[""['Social Connections'"", ""'Outdoor Activities']""]",2.0,socially_active
78,78,Male,22,PU,Undergraduate,Information Technology,4th year,3.0-3.5,Off-Campus,Yes,No Sports,4-6 hrs,5,4,2,5,1,5,5,5,3,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Online Entertainment']""]",5.0,socially_isoled
79,79,Female,21,PU,Undergraduate,Information Technology,4th year,3.5-4.0,Off-Campus,Yes,No Sports,7-8 hrs,3,3,3,3,3,5,5,5,1,"[""['Sleep']""]",5.0,socially_active
80,80,Female,21,PU,Undergraduate,Information Technology,4th year,3.0-3.5,Off-Campus,No,No Sports,7-8 hrs,3,4,4,3,4,4,4,2,4,"[""['Online Entertainment'"", ""'Sleep']""]",3.3333333333333335,socially_active
81,81,Male,22,PU,Undergraduate,Information Technology,4th year,2.5-3.0,Off-Campus,No,No Sports,7-8 hrs,1,2,2,1,2,2,2,5,2,"[""['Religious Activities']""]",3.0,socially_isoled
82,82,Male,22,PU,Undergraduate,Information Technology,4th year,3.0-3.5,On-Campus,No,No Sports,7-8 hrs,4,3,1,4,4,2,3,1,2,"[""['Online Entertainment'"", ""'Outdoor Activities'"", ""'Sleep']""]",2.0,socially_active
83,83,Female,22,COMSATS,Undergraduate,Software Engineering,4th year,3.5-4.0,Off-Campus,Yes,No Sports,2-4 hrs,5,5,5,5,1,5,5,5,5,"[""['Religious Activities'"", ""'Sleep']""]",5.0,socially_isoled
84,84,Male,21,PU,Undergraduate,Data Science,2nd year,2.0-2.5,Off-Campus,No,No Sports,4-6 hrs,5,4,2,4,3,1,2,1,1,"[""['Religious Activities'"", ""'Sports and Fitness'"", ""'Social Connections'"", ""'Online Entertainment'"", ""'Outdoor Activities'"", ""'Sleep']""]",1.3333333333333333,socially_active
85,85,Male,22,PU,Undergraduate,Data Science,2nd year,2.5-3.0,Off-Campus,No,No Sports,4-6 hrs,3,3,3,3,2,3,4,4,5,"[""['Sleep']""]",3.6666666666666665,socially_isoled
86,86,Female,19,PU,Undergraduate,Data Science,2nd year,3.5-4.0,On-Campus,No,4-6 times,4-6 hrs,4,4,4,3,4,2,2,1,3,"[""['Sports and Fitness']""]",1.6666666666666667,socially_active
